シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
シャード,BBBBB000403,202406,2,0.8579,0.591145833
シャード,BBBBB000404,202406,0,0.8579,0.591145833
シャード,BBBBB000405,202406,1,1.2011,0
シャード,BBBBB000406,202406,1,1.2011,0.591145833
シャード,BBBBB000407,202406,2,1.0295,1.7734375
シャード,BBBBB000408,202406,0,1.3726,1.182291667
シャード,BBBBB000409,202406,0,2.7453,1.7734375
シャード,BBBBB000410,202406,2,1.7158,0
シャード,BBBBB000411,202406,0,0.3432,0
シャード,BBBBB000412,202406,0,0.8579,0
シャード,BBBBB000413,202406,0,0,0
シャード,BBBBB000414,202406,0,0.5147,2.364583333
シャード,BBBBB000415,202406,1,1.2011,0
シャード,BBBBB000416,202406,0,0.6863,1.7734375
シャード,BBBBB000417,202406,0,1.0295,4.729166667
シャード,BBBBB000418,202406,0,0.5147,3.546875
シャード,BBBBB000419,202406,0,0.3432,0
シャード,BBBBB000420,202406,1,0.1716,1.7734375
シャード,BBBBB000421,202406,0,0.5147,1.7734375
シャード,BBBBB000422,202406,0,0.1716,0
シャード,BBBBB000423,202406,0,0.5147,0
シャード,BBBBB000424,202406,0,0.5147,1.7734375
シャード,BBBBB000425,202406,4,0,0
シャード,BBBBB000426,202406,1,0,0
シャード,BBBBB000427,202406,0,0,0
シャード,BBBBB000428,202406,0,0.1716,0
シャード,BBBBB000429,202406,0,0.3432,1.7734375
シャード,BBBBB000430,202406,2,0.3432,1.182291667
シャード,BBBBB000431,202406,0,0.5147,0.591145833
シャード,BBBBB000432,202406,1,0.6863,0
シャード,BBBBB000433,202406,2,0.6863,0
シャード,BBBBB000434,202406,1,0.1716,0
シャード,BBBBB000435,202406,1,1.2011,1.182291667
シャード,BBBBB000436,202406,2,2.059,1.7734375
シャード,BBBBB000437,202406,0,0.8579,0.591145833
シャード,BBBBB000438,202406,2,0.1716,0.591145833
シャード,BBBBB000439,202406,0,1.2011,0.591145833
シャード,BBBBB000440,202406,0,1.7158,0
シャード,BBBBB000441,202406,1,0.1716,1.182291667
シャード,BBBBB000442,202406,0,0.3432,1.182291667
シャード,BBBBB000443,202406,0,0.8579,0
シャード,BBBBB000444,202406,1,0.3432,0.591145833
シャード,BBBBB000445,202406,1,0.3432,1.7734375
シャード,BBBBB000446,202406,0,0.8579,0.591145833
シャード,BBBBB000447,202406,0,1.3726,0
シャード,BBBBB000448,202406,0,0.8579,1.182291667
シャード,BBBBB000449,202406,1,1.3726,1.182291667
シャード,BBBBB000450,202406,0,1.7158,1.182291667
シャード,BBBBB000451,202406,0,1.7158,5.911458333
シャード,BBBBB000452,202406,2,0.8579,0.591145833
シャード,BBBBB000453,202406,0,0.6863,1.182291667
シャード,BBBBB000454,202406,1,1.8874,1.7734375
シャード,BBBBB000455,202406,0,0,2.955729167
シャード,BBBBB000456,202406,1,2.2305,0
シャード,BBBBB000457,202406,1,1.0295,0.591145833
シャード,BBBBB000458,202406,3,2.059,1.7734375
シャード,BBBBB000459,202406,0,1.2011,0
シャード,BBBBB000460,202406,1,1.5442,0
シャード,BBBBB000461,202406,0,1.3726,1.182291667
シャード,BBBBB000462,202406,1,3.4316,0
シャード,BBBBB000463,202406,2,0.5147,2.364583333
シャード,BBBBB000464,202406,1,3.0884,1.182291667
シャード,BBBBB000465,202406,2,0,0
シャード,BBBBB000466,202406,1,0,0
シャード,BBBBB000467,202406,0,0.1716,0
シャード,BBBBB000468,202406,1,1.2011,0.591145833
シャード,BBBBB000469,202406,2,0,2.364583333
シャード,BBBBB000470,202406,1,0,0.591145833
シャード,BBBBB000471,202406,0,0,0.591145833
シャード,BBBBB000472,202406,1,0,0
シャード,BBBBB000473,202406,0,0.6863,0.591145833
シャード,BBBBB000474,202406,0,0,0
シャード,BBBBB000475,202406,2,0.6863,0
シャード,BBBBB000476,202406,0,0.5147,0
